Year,CT_AI_Pubs,GenAI_Ed_Pubs,Total_AI_Pubs,Critical_Ratio,Critical_Ratio_per_10k,CT_AI_YoY,GenAI_Ed_YoY,CT_AI_zscore,Burst
2016,43,6,590957,7.276333134221272e-05,0.7276333134221272,,,-0.6433660998435833,No
2017,59,9,601965,9.801234291030209e-05,0.980123429103021,37.2093023255814,50.0,-0.6233352424832072,No
2018,80,13,674256,0.00011864929640967229,1.1864929640967228,35.593220338983045,44.44444444444444,-0.5970447421977133,No
2019,156,14,743816,0.0002097292878884025,2.097292878884025,95.0,7.692307692307687,-0.5018981697359264,No
2020,216,12,805008,0.0002683203148291694,2.6832031482916943,38.46153846153846,-14.28571428571429,-0.4267824546345156,No
2021,214,10,854304,0.0002504963104468667,2.5049631044686667,-0.92592592592593,-16.666666666666664,-0.4292863118045626,No
2022,249,17,842430,0.00029557351946155763,2.9557351946155763,16.355140186915882,70.0,-0.3854688113287396,No
2023,600,379,963565,0.0006226876235645753,6.226876235645753,140.96385542168676,2129.4117647058824,0.05395812201451344,No
2024,1227,652,1290419,0.0009508539474387776,9.508539474387776,104.5,72.0316622691293,0.8389173448242562,No
2025,2725,989,905159,0.0030105208035273363,30.105208035273364,122.08638956805218,51.68711656441718,2.7143063651894783,Yes
