Language,Notes,Notes_Share,Unique_Authors
en,1053673,0.6525329417746354,159629
es,153564,0.09510120186308285,31506
ja,123814,0.07667721736524016,13236
pt,79009,0.04892976777109422,15394
fr,78451,0.048584201944210315,15792
de,43290,0.026809219795348237,8644
pl,13318,0.008247752119067864,2202
it,12117,0.007503980509591929,2729
he,9213,0.005705551905163856,1978
nl,9096,0.005633094554365618,2103
tr,6779,0.004198191291121869,1973
ar,5865,0.003632156943860416,1725
id,3826,0.002369417300462055,956
cs,3317,0.0020541968598098894,963
fi,2907,0.0018002864852177715,676
sv,2872,0.0017786112093379565,786
ca,2336,0.001446669841578505,651
fa,1771,0.0010967689595186355,471
ru,1213,0.0007512031326347289,687
sr,925,0.0005728465768236803,296
el,807,0.0004997699324288757,317
th,806,0.0004991506388323095,180
hi,784,0.00048552617970785446,262
zh,580,0.0003591902860083617,315
da,493,0.00030531174310710743,231
ko,466,0.00028859081599982167,145
ur,448,0.0002774435312616311,173
ms,355,0.00021984922678098,214
no,311,0.0001926003085320698,181
sl,276,0.0001709250326522549,102
hu,233,0.00014429540799991083,147
sk,220,0.00013624459124455098,89
bg,218,0.00013500600405141872,74
hr,187,0.00011580790255786834,123
ta,146,9.041686509865657e-05,59
gl,138,8.546251632612745e-05,86
ro,130,8.050816755359831e-05,92
sh,120,7.43152315879369e-05,82
lv,93,5.75943044806511e-05,42
uk,64,3.9634790180233014e-05,41
mr,56,3.4680441407703886e-05,32
ml,35,2.167527587981493e-05,17
la,31,1.919810149355037e-05,30
bs,29,1.7959514300418085e-05,25
ia,29,1.7959514300418085e-05,29
tl,24,1.4863046317587381e-05,19
kn,23,1.424375272102124e-05,13
eo,23,1.424375272102124e-05,23
ne,21,1.3005165527888959e-05,12
eu,21,1.3005165527888959e-05,18
te,17,1.0527991141624395e-05,14
sw,15,9.289403948492113e-06,10
br,14,8.670110351925972e-06,12
is,11,6.8122295622275495e-06,9
fy,10,6.192935965661409e-06,9
et,10,6.192935965661409e-06,10
mk,9,5.573642369095268e-06,7
bn,9,5.573642369095268e-06,6
pms,8,4.954348772529127e-06,8
mn,8,4.954348772529127e-06,2
az,6,3.7157615793968452e-06,6
io,6,3.7157615793968452e-06,5
vi,6,3.7157615793968452e-06,5
ckb,5,3.0964679828307043e-06,3
arz,5,3.0964679828307043e-06,5
ceb,5,3.0964679828307043e-06,5
lt,5,3.0964679828307043e-06,5
hy,4,2.4771743862645634e-06,4
ast,4,2.4771743862645634e-06,4
nds,4,2.4771743862645634e-06,4
uz,4,2.4771743862645634e-06,4
oc,4,2.4771743862645634e-06,3
ps,4,2.4771743862645634e-06,4
jbo,3,1.8578807896984226e-06,3
yi,3,1.8578807896984226e-06,3
si,3,1.8578807896984226e-06,3
cy,2,1.2385871931322817e-06,2
lb,2,1.2385871931322817e-06,2
sq,2,1.2385871931322817e-06,2
unknown,2,1.2385871931322817e-06,2
be,2,1.2385871931322817e-06,2
gu,2,1.2385871931322817e-06,1
am,2,1.2385871931322817e-06,2
af,2,1.2385871931322817e-06,2
ka,2,1.2385871931322817e-06,1
or,2,1.2385871931322817e-06,1
tt,1,6.192935965661408e-07,1
ht,1,6.192935965661408e-07,1
tg,1,6.192935965661408e-07,1
ie,1,6.192935965661408e-07,1
kk,1,6.192935965661408e-07,1
so,1,6.192935965661408e-07,1
ba,1,6.192935965661408e-07,1
als,1,6.192935965661408e-07,1
ky,1,6.192935965661408e-07,1
tk,1,6.192935965661408e-07,1
dv,1,6.192935965661408e-07,1
nn,1,6.192935965661408e-07,1
war,1,6.192935965661408e-07,1
sa,1,6.192935965661408e-07,1
pa,1,6.192935965661408e-07,1
ku,1,6.192935965661408e-07,1
pam,1,6.192935965661408e-07,1
min,1,6.192935965661408e-07,1
