Month,Notes,Active_Authors,Notes_per_Author,Median_TimeToFirstNote_hours
2021-01,993,385,2.5792207792207793,2.2392225
2021-02,1965,652,3.013803680981595,3.850528611111111
2021-03,1666,580,2.872413793103448,4.122567777777777
2021-04,1237,464,2.665948275862069,5.169230000000001
2021-05,1210,334,3.622754491017964,4.579836527777777
2021-06,1263,464,2.7219827586206895,6.071787916666667
2021-07,1194,446,2.6771300448430493,7.661013611111111
2021-08,1709,706,2.4206798866855523,7.274324166666666
2021-09,1973,829,2.3799758745476476,9.280819166666667
2021-10,1835,724,2.5345303867403315,7.3780675
2021-11,1509,684,2.206140350877193,10.0393225
2021-12,1193,548,2.177007299270073,10.526925
2022-01,1101,461,2.3882863340563993,9.961778055555556
2022-02,962,407,2.3636363636363638,8.842932777777778
2022-03,1012,432,2.3425925925925926,7.032810694444445
2022-04,1055,457,2.308533916849015,10.086803750000001
2022-05,1845,686,2.6895043731778427,9.000948888888889
2022-06,1717,741,2.3171390013495277,10.77732111111111
2022-07,1156,548,2.1094890510948905,10.963662222222222
2022-08,1082,518,2.088803088803089,10.663829722222221
2022-09,868,367,2.3651226158038146,12.377606944444445
2022-10,1393,587,2.373083475298126,8.631909444444444
2022-11,3855,1170,3.2948717948717947,7.5251302777777775
2022-12,3616,981,3.6860346585117227,11.4813925
2023-01,3901,893,4.368421052631579,10.957959444444445
2023-02,5503,1149,4.789382071366406,13.662928611111111
2023-03,10356,2620,3.952671755725191,9.9474275
2023-04,14940,4312,3.4647495361781075,9.306460277777777
2023-05,21210,6066,3.496538081107814,8.99095611111111
2023-06,21667,7146,3.032045899804086,9.284081111111112
2023-07,27891,10442,2.6710400306454702,10.538565555555556
2023-08,47151,16665,2.8293429342934293,10.292686666666667
2023-09,31230,12479,2.502604375350589,8.595005
2023-10,62762,21497,2.9195701725822207,6.843623333333333
2023-11,62227,22658,2.746358901933092,7.795688611111111
2023-12,75586,26584,2.8432891965091787,8.426551527777779
2024-01,92846,31457,2.951521124074133,7.7973175
2024-02,68853,27512,2.502653387612678,8.410005833333333
2024-03,83192,32141,2.588345104383809,7.510665833333333
2024-04,79779,32326,2.467951494153313,7.501371944444444
2024-05,87319,34703,2.516180157335101,7.539503333333333
2024-06,95970,37543,2.5562688117625125,7.090013333333333
2024-07,109387,44637,2.4505903174496493,7.213705555555556
2024-08,106001,44709,2.3709096602473774,7.176560833333333
2024-09,83781,34208,2.4491639382600563,7.10659875
2024-10,97483,39081,2.494383459993347,6.810326111111111
2024-11,95963,41222,2.3279559458541557,7.624328333333333
2024-12,101902,41146,2.4765955378408595,7.5533175
2025-01,90434,39237,2.3048143334097917,7.026135555555555
